x,y,z
1.2017,-4.1166,7.09363
7.85396,3.50148,4.96634
12.742,-8.37064,9.47392
-15.2975,-1.86894,8.78014
9.3199,-0.0772154,4.55751
1.44248,-4.33806,10.2913
17.7493,0.77422,1.01814
14.1642,-14.8539,9.18248
2.19914,-0.53418,-0.243955
-5.24243,16.7065,5.51112
10.264,-16.3241,3.4449
1.26167,-4.27668,4.48884
-14.1556,-25.1556,2.38752
16.2739,-9.05879,1.70034
-1.4454,-16.9377,4.30597
-1.2716,-4.46338,3.6537
-15.6339,-6.021,-1.64106
5.93456,-2.10897,29.9682
-2.75765,18.9277,-12.5078
2.20647,6.90357,10.1746
-7.59027,8.0114,2.69196
-8.55871,8.54816,9.2274
-14.6991,-12.541,9.90336
16.2533,-9.33053,1.62018
-1.89334,8.44367,8.10337
-3.63078,17.4903,6.68998
-3.58041,-2.18787,9.45696
12.5201,-17.0152,12.4727
5.39478,-1.32851,8.42306
-13.1951,10.5491,9.33363
-3.84198,-8.60897,29.6746
2.00674,17.8581,5.84069
0.425705,16.6708,10.7578
-5.67787,7.27464,30.5885
0.280116,2.45238,-2.98366
-7.28516,-3.74201,9.26801
-12.4418,-14.1099,8.36802
6.91136,25.9571,1.8774
-22.3213,-8.16731,0.498793
15.9332,-22.3065,7.94577
-4.0172,-2.69561,0.44106
-16.0908,20.6456,-8.31371
-3.38791,-15.8641,11.1316
-0.707033,-8.40054,10.0079
2.74567,4.56268,0.244551
8.82305,-4.2648,4.30261
-14.3188,-8.94004,3.4651
-4.34945,21.2632,24.0605
-0.0121673,17.3754,1.88932
-6.12992,-24.2308,13.5263
23.2962,-0.906646,-8.11058
10.1842,13.6604,2.91802
-9.58449,-1.99494,13.4523
5.44143,-0.178834,-9.97509
8.77006,14.384,10.2359
20.9695,-13.9605,13.8229
-22.3421,-4.81772,-0.425639
-8.37646,-2.86725,0.579593
2.49493,12.9831,8.68165
9.16025,-2.49399,31.5615
9.32394,-6.17188,-2.49788
12.305,6.86842,18.2055
-16.2432,6.18552,7.28948
17.099,-7.992,-15.5002
-17.7245,16.8766,2.7492
3.38004,2.85181,1.8854
13.8536,8.06082,9.81493
-7.85068,-8.88181,-3.71935
0.326854,-10.4343,6.36227
10.0408,2.6684,-4.68309
8.9382,14.4115,8.15417
