x,y,z
-2.39666,-13.8542,3.92104
8.49628,-5.65403,1.15504
1.39871,18.9883,6.65871
2.68365,-14.8005,9.17599
16.145,8.66515,8.99906
-11.5584,-11.2142,10.3486
15.497,-3.25961,2.89886
1.13805,-10.405,-1.82116
2.01849,19.5119,9.89794
-4.16354,-2.08235,-7.41459
6.24308,-2.23393,19.2355
1.32991,-12.1639,-3.90215
3.32084,-15.9569,15.6782
-5.00936,-2.05874,2.41525
-4.55219,2.62242,1.46896
14.0516,-7.5919,4.87477
-7.51203,-4.88753,3.22589
-16.9194,6.23417,3.96289
-4.92337,2.3874,6.67762
10.1484,12.2817,-0.534638
9.56838,-6.64628,2.73018
12.3553,-6.81554,10.1642
5.45198,-5.42341,7.53018
-12.1946,-16.1455,5.34136
9.39431,9.94069,2.18731
5.2176,-16.8265,2.62082
0.0870338,-13.8729,4.6925
-13.9458,1.19404,8.05579
9.13567,8.20194,16.3566
6.97586,7.55503,8.86665
-8.68599,-20.6255,1.66243
4.74026,19.0765,9.27835
5.90786,16.7959,8.61841
13.426,18.7374,1.47479
-8.74762,11.0435,-0.523825
-2.31608,1.96194,8.0627
-8.41854,4.15345,5.76997
-8.63286,15.6788,17.021
-6.93314,-17.2475,-11.009
13.5685,-5.63208,1.64272
-8.73297,15.848,12.1074
3.90512,3.46596,2.1275
9.52674,13.882,6.73767
-11.8228,12.3381,-9.5653
-0.0906798,8.81728,0.536712
-2.17945,-0.540523,4.99019
13.3067,12.6526,-10.6958
-0.61877,-4.81036,9.84027
-16.5191,-3.01575,8.20943
0.380541,-11.6657,1.52048
-2.5328,17.4196,12.3709
-17.1153,1.91559,2.80859
-10.1728,3.42217,-0.229196
-5.48724,-15.2857,10.3653
-17.7134,-8.25874,2.291
-7.63269,6.07234,1.36458
18.8128,-0.715481,26.4921
-18.0051,-3.3625,28.0263
-16.8685,-6.62461,9.43942
11.0367,0.14793,-10.578
21.9917,8.23013,16.7829
-3.72664,20.622,0.229776
6.06949,1.25482,10.3587
12.3803,-15.0332,8.02298
11.5693,-1.58025,10.094
0.904239,8.58003,-1.15615
-0.717074,5.84161,7.04036
-2.6086,4.39467,-4.04294
2.35078,7.27921,1.7462
23.3378,-18.5466,4.96576
1.02981,23.9532,2.23028
-13.9299,-6.94599,1.71816
1.3022,-1.19324,10.5247
9.97585,5.97097,18.8334
-12.9473,-2.09293,20.8309
-6.68867,1.96726,1.91941
-4.92182,17.8084,2.39461
-9.05995,9.40435,5.0579
7.52264,-3.07808,11.4719
-15.6129,-1.02466,3.98353
-10.5342,20.6129,-7.58604
9.68518,-11.8266,4.64423
-15.8633,-12.5611,9.89526
9.76206,7.25829,6.34085
2.58104,22.482,9.53183
1.35501,-5.06151,9.75305
-23.0794,7.57224,18.1356
-6.85746,-17.1197,19.8546
6.08043,-19.4335,-10.8257
0.695438,-14.8081,0.244021
21.2056,16.6206,-2.41323
15.9905,-8.50446,-1.40218
-14.5783,-16.5062,24.6337
-2.97089,-15.3831,22.2685
25.2021,-13.6772,3.25638
-12.5761,10.3825,3.2997
2.0682,-11.2277,9.31984
10.3472,-24.8909,9.64895
-14.3391,21.3587,5.33431
-12.9535,-1.39614,11.5123
-29.2198,-0.962661,7.44214
-0.596301,8.21048,2.17237
-16.3374,19.8039,8.94983
1.80958,13.2693,-11.9606
12.1312,5.85484,4.08429
-6.31641,14.6899,7.32719
20.2781,-3.37282,15.1682
13.0284,-10.4551,26.3733
-22.7945,-5.57464,13.9596
-28.0242,-7.07526,11.394
14.2087,7.71014,10.5188
2.8372,1.74933,4.62714
-8.20382,-13.9168,3.97229
13.8638,1.69885,8.42468
-10.8152,-7.22547,26.4047
18.7769,6.92327,17.6132
-6.3465,-0.830381,-22.5731
19.1356,-16.1084,-1.00897
4.42076,-21.6716,-6.81264
0.66566,5.94715,-20.2557
-15.3263,1.91873,11.917
13.264,9.15233,6.06227
-6.21189,-8.95073,26.0347
-23.4921,-4.10115,2.31215
-0.0894439,-20.0683,14.4566
3.29223,20.8606,24.2206
-12.8506,-24.858,1.66515
-13.4404,18.4557,-1.25101
-7.5208,13.8768,1.00941
-5.19738,-6.40622,5.18077
-7.89178,-8.8596,9.89614
-23.6131,-12.9184,12.4453
-20.6034,-18.5259,3.60318
12.5093,-1.14822,27.7051
-1.04049,-17.6604,5.84994
-8.51747,7.63712,-4.72473
-17.4063,3.75478,-0.137287
-3.38665,15.4425,-12.5543
24.6149,2.12463,-2.29176
-6.21664,-0.963152,-21.1597
-10.1579,-12.6097,2.93523
3.58631,-19.4647,-6.51116
2.88687,-25.1521,-4.26549
6.21558,-16.9197,9.26595
0.960613,2.8282,-5.4518
-6.66725,25.7632,-2.64443
10.8936,7.15311,18.4181
-16.0982,-4.41782,-5.15446
8.10243,0.457934,6.53054
3.51361,-15.0493,-15.6287
-18.7194,11.218,21.0407
10.5804,-6.40305,4.14915
7.90266,14.5072,1.01324
-23.9615,1.95207,-2.44179
7.89491,-16.9534,-3.16995
-16.4735,14.617,-12.3337
-0.245538,9.69429,-16.4964
-12.3346,-6.54372,0.336962
22.5202,10.9297,-4.28886
16.5186,19.8187,11.4574
-6.86921,19.2199,18.3399
-13.4048,23.8698,6.69162
-8.18828,-22.8704,-1.23065
19.3502,-4.55678,14.7835
9.85326,-13.9131,2.40645
-14.1893,15.5684,15.8866
